,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,constant_MR2,MR2_input_a,MR2_input_b,MR2_output,constant_MR3,MR3_input_a,MR3_input_b,MR3_output,constant_MR4,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR2_checker,MR3_checker,MR4_checker
58,1,4,1,sub,-3.0,4.0,1.0,3.0,6.0,6.0,24.0,-18.0,0.0,1.0,4.0,-3.0,6.0,-5.0,-2.0,-3.0,0.0,0.0,1.0,1.0
59,9,4,1,sub,5.0,4.0,9.0,-5.0,9.0,81.0,36.0,45.0,4.0,13.0,8.0,5.0,6.0,3.0,-2.0,5.0,0.0,1.0,1.0,1.0
60,6,6,0,sum,12.0,6.0,6.0,12.0,3.0,18.0,18.0,36.0,9.0,15.0,15.0,30.0,7.0,-1.0,-1.0,-2.0,1.0,1.0,0.0,0.0
61,7,3,0,sum,10.0,3.0,7.0,10.0,3.0,21.0,9.0,30.0,0.0,7.0,3.0,10.0,8.0,-1.0,-5.0,-6.0,1.0,1.0,1.0,0.0
62,9,4,1,sub,5.0,4.0,9.0,-5.0,8.0,72.0,32.0,40.0,0.0,9.0,4.0,5.0,4.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0
63,1,4,0,sum,5.0,4.0,1.0,5.0,8.0,8.0,32.0,40.0,4.0,5.0,8.0,13.0,2.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0
64,6,5,0,sum,11.0,5.0,6.0,11.0,2.0,12.0,10.0,22.0,3.0,9.0,8.0,17.0,6.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0
65,5,7,1,sub,-2.0,7.0,5.0,2.0,5.0,25.0,35.0,-10.0,6.0,11.0,13.0,-2.0,1.0,4.0,6.0,-2.0,0.0,0.0,1.0,1.0
66,4,4,1,sub,0.0,4.0,4.0,0.0,9.0,36.0,36.0,0.0,1.0,5.0,5.0,0.0,6.0,-2.0,-2.0,0.0,1.0,1.0,1.0,1.0
67,5,3,1,sub,2.0,3.0,5.0,-2.0,6.0,30.0,18.0,12.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0
68,4,1,0,sum,5.0,1.0,4.0,5.0,6.0,24.0,6.0,30.0,5.0,9.0,6.0,15.0,0.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0
69,7,9,1,sub,-2.0,9.0,7.0,2.0,2.0,14.0,18.0,-4.0,7.0,14.0,16.0,-2.0,1.0,6.0,8.0,-2.0,0.0,0.0,1.0,1.0
70,7,8,0,sum,15.0,8.0,7.0,15.0,1.0,7.0,8.0,15.0,4.0,11.0,12.0,23.0,2.0,5.0,6.0,11.0,1.0,1.0,0.0,0.0
71,5,8,1,sub,-3.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,-3.0,7.0,-2.0,1.0,-3.0,0.0,1.0,1.0,1.0
72,2,7,0,sum,9.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,11.0,2.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0
73,9,3,1,sub,6.0,3.0,9.0,-6.0,7.0,63.0,21.0,42.0,5.0,14.0,8.0,6.0,1.0,8.0,2.0,6.0,0.0,1.0,1.0,1.0
74,8,9,1,sub,-1.0,9.0,8.0,1.0,2.0,16.0,18.0,-2.0,2.0,10.0,11.0,-1.0,4.0,4.0,5.0,-1.0,0.0,0.0,1.0,1.0
75,0,5,0,sum,5.0,5.0,0.0,5.0,5.0,0.0,25.0,25.0,4.0,4.0,9.0,13.0,4.0,-4.0,1.0,-3.0,1.0,1.0,0.0,0.0
76,0,7,1,sub,-7.0,7.0,0.0,7.0,8.0,0.0,56.0,-56.0,0.0,0.0,7.0,-7.0,6.0,-6.0,1.0,-7.0,0.0,0.0,1.0,1.0
77,0,1,0,sum,1.0,1.0,0.0,1.0,8.0,0.0,8.0,8.0,2.0,2.0,3.0,5.0,2.0,-2.0,-1.0,-3.0,1.0,1.0,0.0,0.0
78,2,1,0,sum,3.0,1.0,2.0,3.0,4.0,8.0,4.0,12.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
79,5,6,0,sum,11.0,6.0,5.0,11.0,7.0,35.0,42.0,77.0,2.0,7.0,8.0,15.0,7.0,-2.0,-1.0,-3.0,1.0,1.0,0.0,0.0
80,3,6,0,sum,9.0,6.0,3.0,9.0,9.0,27.0,54.0,81.0,0.0,3.0,6.0,9.0,9.0,-6.0,-3.0,-9.0,1.0,1.0,1.0,0.0
81,3,1,1,sub,2.0,1.0,3.0,-2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,8.0,-5.0,-7.0,2.0,0.0,1.0,1.0,1.0
82,7,3,1,sub,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,7.0,14.0,10.0,4.0,9.0,-2.0,-6.0,4.0,0.0,1.0,1.0,1.0
83,6,2,0,sum,8.0,2.0,6.0,8.0,7.0,42.0,14.0,56.0,5.0,11.0,7.0,18.0,3.0,3.0,-1.0,2.0,1.0,1.0,0.0,0.0
84,0,5,1,sub,-5.0,5.0,0.0,5.0,7.0,0.0,35.0,-35.0,2.0,2.0,7.0,-5.0,9.0,-9.0,-4.0,-5.0,0.0,0.0,1.0,1.0
85,8,4,0,sum,12.0,4.0,8.0,12.0,6.0,48.0,24.0,72.0,1.0,9.0,5.0,14.0,0.0,8.0,4.0,12.0,1.0,1.0,0.0,1.0
86,7,3,1,sub,4.0,3.0,7.0,-4.0,4.0,28.0,12.0,16.0,9.0,16.0,12.0,4.0,9.0,-2.0,-6.0,4.0,0.0,1.0,1.0,1.0
87,4,1,1,sub,3.0,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,9.0,13.0,10.0,3.0,3.0,1.0,-2.0,3.0,0.0,0.0,1.0,1.0
88,9,1,1,sub,8.0,1.0,9.0,-8.0,3.0,27.0,3.0,24.0,6.0,15.0,7.0,8.0,9.0,0.0,-8.0,8.0,0.0,1.0,1.0,1.0
89,6,4,0,sum,10.0,4.0,6.0,10.0,9.0,54.0,36.0,90.0,3.0,9.0,7.0,16.0,2.0,4.0,2.0,6.0,1.0,1.0,0.0,0.0
90,7,2,1,sub,5.0,2.0,7.0,-5.0,9.0,63.0,18.0,45.0,4.0,11.0,6.0,5.0,1.0,6.0,1.0,5.0,0.0,1.0,1.0,1.0
91,5,5,0,sum,10.0,5.0,5.0,10.0,1.0,5.0,5.0,10.0,7.0,12.0,12.0,24.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0
92,8,0,0,sum,8.0,0.0,8.0,8.0,5.0,40.0,0.0,40.0,2.0,10.0,2.0,12.0,0.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0
93,6,3,1,sub,3.0,3.0,6.0,-3.0,5.0,30.0,15.0,15.0,0.0,6.0,3.0,3.0,8.0,-2.0,-5.0,3.0,0.0,1.0,1.0,1.0
94,4,1,0,sum,5.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,7.0,11.0,8.0,19.0,0.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0
95,8,7,0,sum,15.0,7.0,8.0,15.0,1.0,8.0,7.0,15.0,5.0,13.0,12.0,25.0,9.0,-1.0,-2.0,-3.0,1.0,1.0,0.0,0.0
96,1,9,0,sum,10.0,9.0,1.0,10.0,3.0,3.0,27.0,30.0,4.0,5.0,13.0,18.0,7.0,-6.0,2.0,-4.0,1.0,1.0,0.0,0.0
97,3,1,0,sum,4.0,1.0,3.0,4.0,3.0,9.0,3.0,12.0,1.0,4.0,2.0,6.0,4.0,-1.0,-3.0,-4.0,1.0,1.0,0.0,0.0
98,1,4,1,sub,-3.0,4.0,1.0,3.0,5.0,5.0,20.0,-15.0,0.0,1.0,4.0,-3.0,8.0,-7.0,-4.0,-3.0,0.0,0.0,1.0,1.0
99,9,7,0,sum,16.0,7.0,9.0,16.0,7.0,63.0,49.0,112.0,7.0,16.0,14.0,30.0,1.0,8.0,6.0,14.0,1.0,1.0,0.0,0.0
