,"(a,b)",input_a,input_b,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
39,"(9,3)",9,3,6,6.0,15.0,9.0,"(15,9)",6.0,No-violated
40,"(0,4)",0,4,6,-4.0,6.0,10.0,"(6,10)",-4.0,No-violated
41,"(1,4)",1,4,6,-3.0,7.0,10.0,"(7,10)",-3.0,No-violated
42,"(2,4)",2,4,6,-2.0,8.0,10.0,"(8,10)",-2.0,No-violated
43,"(3,4)",3,4,6,-1.0,9.0,10.0,"(9,10)",-1.0,No-violated
44,"(4,4)",4,4,6,0.0,10.0,10.0,"(10,10)",0.0,No-violated
45,"(5,4)",5,4,6,1.0,11.0,10.0,"(11,10)",1.0,No-violated
46,"(6,4)",6,4,6,2.0,12.0,10.0,"(12,10)",2.0,No-violated
47,"(7,4)",7,4,6,3.0,13.0,10.0,"(13,10)",3.0,No-violated
48,"(8,4)",8,4,6,4.0,14.0,10.0,"(14,10)",4.0,No-violated
49,"(9,4)",9,4,6,5.0,15.0,10.0,"(15,10)",5.0,No-violated
50,"(0,5)",0,5,6,-5.0,6.0,11.0,"(6,11)",-5.0,No-violated
51,"(1,5)",1,5,6,-4.0,7.0,11.0,"(7,11)",-4.0,No-violated
52,"(2,5)",2,5,6,-3.0,8.0,11.0,"(8,11)",-3.0,No-violated
53,"(3,5)",3,5,6,-2.0,9.0,11.0,"(9,11)",-2.0,No-violated
54,"(4,5)",4,5,6,-1.0,10.0,11.0,"(10,11)",-1.0,No-violated
55,"(5,5)",5,5,6,0.0,11.0,11.0,"(11,11)",0.0,No-violated
56,"(6,5)",6,5,6,1.0,12.0,11.0,"(12,11)",1.0,No-violated
57,"(7,5)",7,5,6,2.0,13.0,11.0,"(13,11)",2.0,No-violated
58,"(8,5)",8,5,6,3.0,14.0,11.0,"(14,11)",3.0,No-violated
59,"(9,5)",9,5,6,4.0,15.0,11.0,"(15,11)",4.0,No-violated
60,"(0,6)",0,6,6,-6.0,6.0,12.0,"(6,12)",-6.0,No-violated
61,"(1,6)",1,6,6,-5.0,7.0,12.0,"(7,12)",-5.0,No-violated
62,"(2,6)",2,6,6,-4.0,8.0,12.0,"(8,12)",-4.0,No-violated
63,"(3,6)",3,6,6,-3.0,9.0,12.0,"(9,12)",-3.0,No-violated
64,"(4,6)",4,6,6,-2.0,10.0,12.0,"(10,12)",-2.0,No-violated
65,"(5,6)",5,6,6,-1.0,11.0,12.0,"(11,12)",-1.0,No-violated
66,"(6,6)",6,6,6,0.0,12.0,12.0,"(12,12)",0.0,No-violated
67,"(7,6)",7,6,6,1.0,13.0,12.0,"(13,12)",1.0,No-violated
68,"(8,6)",8,6,6,2.0,14.0,12.0,"(14,12)",2.0,No-violated
69,"(9,6)",9,6,6,3.0,15.0,12.0,"(15,12)",3.0,No-violated
70,"(0,7)",0,7,6,-7.0,6.0,13.0,"(6,13)",-7.0,No-violated
71,"(1,7)",1,7,6,-6.0,7.0,13.0,"(7,13)",-6.0,No-violated
72,"(2,7)",2,7,6,-5.0,8.0,13.0,"(8,13)",-5.0,No-violated
73,"(3,7)",3,7,6,-4.0,9.0,13.0,"(9,13)",-4.0,No-violated
74,"(4,7)",4,7,6,-3.0,10.0,13.0,"(10,13)",-3.0,No-violated
75,"(5,7)",5,7,6,-2.0,11.0,13.0,"(11,13)",-2.0,No-violated
76,"(6,7)",6,7,6,-1.0,12.0,13.0,"(12,13)",-1.0,No-violated
77,"(7,7)",7,7,6,0.0,13.0,13.0,"(13,13)",0.0,No-violated
78,"(8,7)",8,7,6,1.0,14.0,13.0,"(14,13)",1.0,No-violated
79,"(9,7)",9,7,6,2.0,15.0,13.0,"(15,13)",2.0,No-violated
80,"(0,8)",0,8,6,-8.0,6.0,14.0,"(6,14)",-8.0,No-violated
81,"(1,8)",1,8,6,-7.0,7.0,14.0,"(7,14)",-7.0,No-violated
82,"(2,8)",2,8,6,-6.0,8.0,14.0,"(8,14)",-6.0,No-violated
83,"(3,8)",3,8,6,-5.0,9.0,14.0,"(9,14)",-5.0,No-violated
84,"(4,8)",4,8,6,-4.0,10.0,14.0,"(10,14)",-4.0,No-violated
85,"(5,8)",5,8,6,-3.0,11.0,14.0,"(11,14)",-3.0,No-violated
86,"(6,8)",6,8,6,-2.0,12.0,14.0,"(12,14)",-2.0,No-violated
87,"(7,8)",7,8,6,-1.0,13.0,14.0,"(13,14)",-1.0,No-violated
88,"(8,8)",8,8,6,0.0,14.0,14.0,"(14,14)",0.0,No-violated
89,"(9,8)",9,8,6,1.0,15.0,14.0,"(15,14)",1.0,No-violated
90,"(0,9)",0,9,6,-9.0,6.0,15.0,"(6,15)",-9.0,No-violated
91,"(1,9)",1,9,6,-8.0,7.0,15.0,"(7,15)",-8.0,No-violated
92,"(2,9)",2,9,6,-7.0,8.0,15.0,"(8,15)",-7.0,No-violated
93,"(3,9)",3,9,6,-6.0,9.0,15.0,"(9,15)",-6.0,No-violated
94,"(4,9)",4,9,6,-5.0,10.0,15.0,"(10,15)",-5.0,No-violated
95,"(5,9)",5,9,6,-4.0,11.0,15.0,"(11,15)",-4.0,No-violated
96,"(6,9)",6,9,6,-3.0,12.0,15.0,"(12,15)",-3.0,No-violated
97,"(7,9)",7,9,6,-2.0,13.0,15.0,"(13,15)",-2.0,No-violated
98,"(8,9)",8,9,6,-1.0,14.0,15.0,"(14,15)",-1.0,No-violated
99,"(9,9)",9,9,6,0.0,15.0,15.0,"(15,15)",0.0,No-violated
