,"(a,b)",input_a,input_b,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
76,"(6,7)",6,7,6,13.0,0.0,1.0,"(0,1)",1.0,Violated
77,"(7,7)",7,7,6,14.0,1.0,1.0,"(1,1)",2.0,Violated
78,"(8,7)",8,7,6,15.0,2.0,1.0,"(2,1)",3.0,Violated
79,"(9,7)",9,7,6,16.0,3.0,1.0,"(3,1)",4.0,Violated
80,"(0,8)",0,8,6,8.0,-6.0,2.0,"(-6,2)",-4.0,Violated
81,"(1,8)",1,8,6,9.0,-5.0,2.0,"(-5,2)",-3.0,Violated
82,"(2,8)",2,8,6,10.0,-4.0,2.0,"(-4,2)",-2.0,Violated
83,"(3,8)",3,8,6,11.0,-3.0,2.0,"(-3,2)",-1.0,Violated
84,"(4,8)",4,8,6,12.0,-2.0,2.0,"(-2,2)",0.0,Violated
85,"(5,8)",5,8,6,13.0,-1.0,2.0,"(-1,2)",1.0,Violated
86,"(6,8)",6,8,6,14.0,0.0,2.0,"(0,2)",2.0,Violated
87,"(7,8)",7,8,6,15.0,1.0,2.0,"(1,2)",3.0,Violated
88,"(8,8)",8,8,6,16.0,2.0,2.0,"(2,2)",4.0,Violated
89,"(9,8)",9,8,6,17.0,3.0,2.0,"(3,2)",5.0,Violated
90,"(0,9)",0,9,6,9.0,-6.0,3.0,"(-6,3)",-3.0,Violated
91,"(1,9)",1,9,6,10.0,-5.0,3.0,"(-5,3)",-2.0,Violated
92,"(2,9)",2,9,6,11.0,-4.0,3.0,"(-4,3)",-1.0,Violated
93,"(3,9)",3,9,6,12.0,-3.0,3.0,"(-3,3)",0.0,Violated
94,"(4,9)",4,9,6,13.0,-2.0,3.0,"(-2,3)",1.0,Violated
95,"(5,9)",5,9,6,14.0,-1.0,3.0,"(-1,3)",2.0,Violated
96,"(6,9)",6,9,6,15.0,0.0,3.0,"(0,3)",3.0,Violated
97,"(7,9)",7,9,6,16.0,1.0,3.0,"(1,3)",4.0,Violated
98,"(8,9)",8,9,6,17.0,2.0,3.0,"(2,3)",5.0,Violated
99,"(9,9)",9,9,6,18.0,3.0,3.0,"(3,3)",6.0,Violated
