,"(a,b)",input_a,input_b,operand,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
62,"(6,3)",6,3,sum,6,9.0,12.0,9.0,"(12,9)",21.0,Violated
63,"(9,7)",9,7,sum,6,16.0,15.0,13.0,"(15,13)",28.0,Violated
64,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
65,"(5,7)",5,7,sum,6,12.0,11.0,13.0,"(11,13)",24.0,Violated
66,"(9,6)",9,6,sum,6,15.0,15.0,12.0,"(15,12)",27.0,Violated
67,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
68,"(7,4)",7,4,sum,6,11.0,13.0,10.0,"(13,10)",23.0,Violated
69,"(7,9)",7,9,sum,6,16.0,13.0,15.0,"(13,15)",28.0,Violated
70,"(5,7)",5,7,sum,6,12.0,11.0,13.0,"(11,13)",24.0,Violated
71,"(5,8)",5,8,sum,6,13.0,11.0,14.0,"(11,14)",25.0,Violated
72,"(0,6)",0,6,sum,6,6.0,6.0,12.0,"(6,12)",18.0,Violated
73,"(1,0)",1,0,sum,6,1.0,7.0,6.0,"(7,6)",13.0,Violated
74,"(2,2)",2,2,sum,6,4.0,8.0,8.0,"(8,8)",16.0,Violated
75,"(3,7)",3,7,sum,6,10.0,9.0,13.0,"(9,13)",22.0,Violated
76,"(1,7)",1,7,sum,6,8.0,7.0,13.0,"(7,13)",20.0,Violated
77,"(9,9)",9,9,sum,6,18.0,15.0,15.0,"(15,15)",30.0,Violated
78,"(2,9)",2,9,sum,6,11.0,8.0,15.0,"(8,15)",23.0,Violated
79,"(4,8)",4,8,sum,6,12.0,10.0,14.0,"(10,14)",24.0,Violated
80,"(5,4)",5,4,sum,6,9.0,11.0,10.0,"(11,10)",21.0,Violated
81,"(2,6)",2,6,sum,6,8.0,8.0,12.0,"(8,12)",20.0,Violated
82,"(1,6)",1,6,sum,6,7.0,7.0,12.0,"(7,12)",19.0,Violated
83,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
84,"(4,1)",4,1,sum,6,5.0,10.0,7.0,"(10,7)",17.0,Violated
85,"(2,7)",2,7,sum,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
86,"(6,5)",6,5,sum,6,11.0,12.0,11.0,"(12,11)",23.0,Violated
87,"(9,4)",9,4,sum,6,13.0,15.0,10.0,"(15,10)",25.0,Violated
88,"(8,1)",8,1,sum,6,9.0,14.0,7.0,"(14,7)",21.0,Violated
89,"(9,4)",9,4,sum,6,13.0,15.0,10.0,"(15,10)",25.0,Violated
90,"(4,0)",4,0,sum,6,4.0,10.0,6.0,"(10,6)",16.0,Violated
91,"(4,3)",4,3,sum,6,7.0,10.0,9.0,"(10,9)",19.0,Violated
92,"(5,1)",5,1,sum,6,6.0,11.0,7.0,"(11,7)",18.0,Violated
93,"(3,5)",3,5,sum,6,8.0,9.0,11.0,"(9,11)",20.0,Violated
94,"(2,5)",2,5,sum,6,7.0,8.0,11.0,"(8,11)",19.0,Violated
95,"(2,7)",2,7,sum,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
96,"(2,3)",2,3,sum,6,5.0,8.0,9.0,"(8,9)",17.0,Violated
97,"(1,3)",1,3,sum,6,4.0,7.0,9.0,"(7,9)",16.0,Violated
98,"(0,6)",0,6,sum,6,6.0,6.0,12.0,"(6,12)",18.0,Violated
99,"(1,8)",1,8,sum,6,9.0,7.0,14.0,"(7,14)",21.0,Violated
